1_10904	1_13450	34.2	407	243	11	39	429	77	474	4.62e-68	231
1_10919	1_13450	34.5	339	141	6	18	306	111	418	9.85e-59	201
1_11415	1_13450	33.8	512	272	10	57	536	98	574	1.36e-79	267
1_11977	1_13450	37.8	450	262	10	35	467	188	636	2.09e-86	284
1_12525	1_13450	29.2	342	158	6	22	287	299	632	3.71e-28	117
1_12641	1_13450	44.9	283	153	3	1	282	294	574	3.78e-73	241
1_13450	1_10904	34.0	430	259	10	55	474	15	429	4.33e-67	229
1_13450	1_10919	34.5	339	141	6	111	418	18	306	9.69e-59	202
1_13450	1_11415	33.8	512	272	10	98	574	57	536	2.52e-79	266
1_13450	1_11977	36.3	493	287	13	188	673	35	507	1.45e-88	290
1_13450	1_12525	26.2	446	220	9	299	729	22	373	5.66e-31	126
1_13450	1_12641	44.9	283	153	3	294	574	1	282	4.63e-71	236
1_13450	1_15033	34.1	369	222	9	120	478	8	365	1.09e-63	218
1_13450	1_15662	40.2	281	163	3	195	474	90	366	1.33e-57	201
1_13450	1_19199	36.7	412	232	13	371	771	5	398	1.48e-63	219
1_13450	1_19732	38.5	553	281	14	118	632	6	537	4.84e-103	329
1_13450	1_21052	34.6	618	324	11	191	797	52	600	6.98e-111	350
1_13450	1_2108	33.5	743	427	14	95	797	32	747	1.38e-123	388
1_13450	1_21225	31.8	507	238	16	294	797	1	402	2.04e-56	199
1_13450	1_21298	24.4	615	366	22	74	632	54	625	1.04e-31	132
1_13450	1_23378	35.6	615	337	10	191	797	133	696	5.27e-119	375
1_13450	1_23765	42.5	393	176	5	194	584	15	359	3.99e-95	302
1_13450	1_4495	33.8	701	403	12	136	797	48	726	2.14e-124	390
1_13450	1_5387	31.1	392	239	10	416	798	9	378	7.61e-36	139
1_13450	1_6843	33.6	422	245	10	196	610	48	441	3.74e-60	212
1_13450	1_7127	34.0	638	365	12	40	640	36	654	1.46e-108	346
1_13450	1_7624	38.4	362	180	7	114	434	78	437	3.01e-65	224
1_13450	1_8022	42.2	270	148	3	206	473	96	359	8.19e-57	198
1_15033	1_13450	34.2	371	221	11	7	365	119	478	3.72e-64	218
1_15662	1_13450	40.4	280	162	3	90	365	195	473	2.48e-58	202
1_19199	1_13450	36.1	407	237	10	7	398	373	771	8.99e-59	205
1_19732	1_13450	38.5	553	281	14	6	537	118	632	7.01e-103	328
1_21052	1_13450	34.6	618	324	11	52	600	191	797	4.32e-109	345
1_2108	1_13450	33.1	770	441	16	11	747	69	797	5.75e-121	381
1_21225	1_13450	32.3	462	208	12	1	358	294	754	1.44e-56	198
1_21298	1_13450	23.4	593	391	19	58	625	78	632	1.49e-29	125
1_23378	1_13450	35.6	615	337	10	133	696	191	797	1.68e-119	376
1_23765	1_13450	43.0	393	174	6	15	359	194	584	1.09e-94	300
1_4495	1_13450	34.2	687	391	12	62	726	150	797	5.84e-123	386
1_5387	1_13450	32.4	346	210	8	9	337	416	754	2.09e-33	131
1_6843	1_13450	33.6	422	245	9	48	441	196	610	2.77e-63	220
1_7127	1_13450	34.5	634	355	13	42	654	46	640	9.26e-108	344
1_715	1_13450	37.3	126	46	3	6	129	146	240	9.25e-15	69.7
1_7624	1_13450	38.1	362	181	7	78	437	114	434	2.29e-65	223
1_8022	1_13450	40.5	296	165	5	70	359	183	473	2.20e-60	207
